LogicalDesignator,ManufacturerPartNumber,Manufacturer,Note,PhysicalPath,FunctionalGroupTitle
,Плата печатная,,,main,
F1,04611.25ER,"фирма Littlefuse""""",,main,
R10,RC0603JR-0710KL,"фирма Yageo""""",,main,
R11,RC0603JR-0710KL,"фирма Yageo""""",,main,
R12,RC0603JR-0710KL,"фирма Yageo""""",,main,
R13,RC0603JR-0710KL,"фирма Yageo""""",Не уст.,main,
R14,RC0603FR-070RL,"фирма Yageo""""",Не уст.,main,
R15,RC0603FR-070RL,"фирма Yageo""""",,main,
XP1,09 23 348 6921,"фирма Harting""""",,main,
XP2,0026013115,"фирма Molex""""",,main,
XP3,0026013115,"фирма Molex""""",Не уст.,main,
XP4,0026013115,"фирма Molex""""",,main,
XP5,0026013115,"фирма Molex""""",,main,
XP6,0768250004,"фирма Molex""""",,main,
XP7,0026013116,"фирма Molex""""",,main,
XP8,0026013116,"фирма Molex""""",,main,
XP9,0026013116,"фирма Molex""""",Не уст.,main,
C1,GRM188R72A104KA35,"фирма Murata""""",,main\A1,Буфер
DD1,74HC4050PW,"фирма Nexperia""""",,main\A1,Буфер
R1,RC0603JR-075K1L,"фирма Yageo""""",,main\A1,Буфер
R2,RC0603JR-075K1L,"фирма Yageo""""",,main\A1,Буфер
R3,RC0603JR-072K7L,"фирма Yageo""""",,main\A1,Буфер
R4,RC0603JR-075K1L,"фирма Yageo""""",,main\A1,Буфер
R5,RC0603JR-072K7L,"фирма Yageo""""",,main\A1,Буфер
R6,RC0603JR-075K1L,"фирма Yageo""""",,main\A1,Буфер
R7,RC0603JR-072K7L,"фирма Yageo""""",,main\A1,Буфер
R8,RC0603JR-072K7L,"фирма Yageo""""",,main\A1,Буфер
R9,RC0603JR-0751RL,"фирма Yageo""""",,main\A1,Буфер
C10,383LX273M050N062,фирма Cornell Dubilier,,main\A2,Схема питания
C11,HCD075471 DSCC93026-48,"фирма Evans""""",,main\A2,Схема питания
C12,HCD075471 DSCC93026-48,"фирма Evans""""",,main\A2,Схема питания
C13,HCD075471 DSCC93026-48,"фирма Evans""""",,main\A2,Схема питания
C14,HCD075471 DSCC93026-48,"фирма Evans""""",,main\A2,Схема питания
C2,GRM188R72A104KA35,"фирма Murata""""",,main\A2,Схема питания
C3,GRM188R72A104KA35,"фирма Murata""""",,main\A2,Схема питания
C4,GRM188R61H105KAALD,"фирма Murata""""",,main\A2,Схема питания
C5,383LX273M050N062,фирма Cornell Dubilier,,main\A2,Схема питания
C6,383LX273M050N062,фирма Cornell Dubilier,,main\A2,Схема питания
C7,GRM188R72A104KA35,"фирма Murata""""",,main\A2,Схема питания
C8,383LX273M050N062,фирма Cornell Dubilier,,main\A2,Схема питания
C9,GRM1885C1H101JA01D,"фирма Murata""""",Не уст.,main\A2,Схема питания
DA1,ACS723LLCTR-40AB-T,"фирма Allegro MicroSystems""""",,main\A2,Схема питания
DA2,AD7276BUJZ,"фирма Analog Devices""""",,main\A2,Схема питания
DD2,STLM75DS2,"фирма STMicroelectronics""""",,main\A2,Схема питания
F2,Термопредохранитель ZH103-105,"каталог Чип и Дип""""",,main\A2,Схема питания
FV1,EC90X,"фирма EPCOS""""",Не уст.,main\A2,Схема питания
R16,RC0603FR-070RL,"фирма Yageo""""",Не уст.,main\A2,Схема питания
R17,RC0603FR-070RL,"фирма Yageo""""",Не уст.,main\A2,Схема питания
R18,RC0603JR-071KL,"фирма Yageo""""",,main\A2,Схема питания
R19,RC0603JR-071KL,"фирма Yageo""""",,main\A2,Схема питания
R20,RC1206JR-0710KL,"фирма Yageo""""",Не уст.,main\A2,Схема питания
R21,"MO-200 (С2-23) 2 Вт, 33 кОм, 5%","каталог  Чип и Дип""""",,main\A2,Схема питания
R22,RC1206JR-0710KL,"фирма Yageo""""",Не уст.,main\A2,Схема питания
R23,"MO-200 (С2-23) 2 Вт, 33 кОм, 5%","каталог  Чип и Дип""""",,main\A2,Схема питания
R24,RC0603JR-071KL,"фирма Yageo""""",Не уст.,main\A2,Схема питания
R25,RC0603JR-071KL,"фирма Yageo""""",,main\A2,Схема питания
R26,RC0603JR-07680RL,"фирма Yageo""""",,main\A2,Схема питания
R27,RC0603JR-071KL,"фирма Yageo""""",Не уст.,main\A2,Схема питания
R28,RC0603JR-071KL,"фирма Yageo""""",,main\A2,Схема питания
R29,RC0603JR-071KL,"фирма Yageo""""",Не уст.,main\A2,Схема питания
R30,RC0603JR-071KL,"фирма Yageo""""",,main\A2,Схема питания
R31,RC0603JR-0710KL,"фирма Yageo""""",,main\A2,Схема питания
R32,RC0603JR-0710KL,"фирма Yageo""""",,main\A2,Схема питания
R33,RC0603JR-0710KL,"фирма Yageo""""",,main\A2,Схема питания
RU1,B72220S0251K101,"фирма EPCOS""""",,main\A2,Схема питания
RU2,B72220S0251K101,"фирма EPCOS""""",,main\A2,Схема питания
U1,PB181S,фирма ОАО «Протон»,,main\A2,Схема питания
VD1,1.5KE400A,"фирма ST Microelectronics""""",,main\A2,Схема питания
VD2,1.5KE400A,"фирма ST Microelectronics""""",,main\A2,Схема питания
VD3,MBRS260T3G,"фирма ON Semiconductor""""",,main\A2,Схема питания
XP10,0026013115,"фирма Molex""""",,main\A2,Схема питания
XP11,0768250004,"фирма Molex""""",,main\A2,Схема питания
XP12,DG390-5.0-02P,"фирма Degson""""",,main\A2,Схема питания
XP13,DG390-5.0-02P,"фирма Degson""""",,main\A2,Схема питания
Z1,B84110A0000A060,"фирма EPCOS""""",,main\A2,Схема питания
R57,RC0603JR-0710KL,"фирма Yageo""""",,main\A2\A5,Схема прогрева
R58,"Провод МГШВ-1, 30 мм",,,main\A2\A5,Схема прогрева
VD6,BZX84C3V0LT1G,"фирма ON Semiconductor""""",,main\A2\A5,Схема прогрева
VT1,IRF7470TRPBF,"фирма Infineon""""",,main\A2\A5,Схема прогрева
XP14,0768250004,"фирма Molex""""",,main\A2\A5,Схема прогрева
XP15,0026013115,"фирма Molex""""",,main\A2\A5,Схема прогрева
C15,GRM32ER72A225KA35L,"фирма Murata""""",Не уст.,main\A3,Схема управления вентиляторами
C16,GRM32ER72A225KA35L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C17,GRM32ER72A225KA35L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C18,GRM1885C1H103JA01,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C19,GRM1885C1H103JA01,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C20,GRM188R72A104KA35,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C21,GRM188R72A104KA35,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C22,GRM188R72A104KA35,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C23,GRM188R72A104KA35,"фирма Murata""""",Не уст.,main\A3,Схема управления вентиляторами
C24,GRM188R61H105KAALD,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C25,GRM188R61H105KAALD,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C26,GRM188R61H105KAALD,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C27,GRM188R61H105KAALD,"фирма Murata""""",Не уст.,main\A3,Схема управления вентиляторами
C28,GRM32ER7YA106KA12L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C29,GRM32ER7YA106KA12L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C30,GRM32ER7YA106KA12L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C31,GRM32ER7YA106KA12L,"фирма Murata""""",Не уст.,main\A3,Схема управления вентиляторами
C32,GRM188R72A104KA35,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C33,GRM32ER72A225KA35L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C34,GRM32ER7YA106KA12L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
C35,GRM32ER7YA106KA12L,"фирма Murata""""",,main\A3,Схема управления вентиляторами
DA3,DRV8871,"фирма Texas Instruments""""",,main\A3,Схема управления вентиляторами
DA4,DRV8871,"фирма Texas Instruments""""",,main\A3,Схема управления вентиляторами
DA5,DRV8871,"фирма Texas Instruments""""",,main\A3,Схема управления вентиляторами
DA6,DRV8871,"фирма Texas Instruments""""",Не уст.,main\A3,Схема управления вентиляторами
DA7,MAX17504SATP+,"фирма Maxim""""",,main\A3,Схема управления вентиляторами
L1,IHLP-2525CZ-ER-4R7-M-01,"фирма Vishay""""",,main\A3,Схема управления вентиляторами
R34,RC0603FR-070RL,"фирма Yageo""""",Не уст.,main\A3,Схема управления вентиляторами
R35,RC0603JR-073M3L,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R36,RC0603JR-071ML,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R37,RC0603FR-070RL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R38,RC0603FR-070RL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R39,RC0603FR-070RL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R40,RC0603FR-070RL,"фирма Yageo""""",Не уст.,main\A3,Схема управления вентиляторами
R41,RC0603JR-0715KL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R42,RC0603JR-0715KL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R43,RC0603JR-0715KL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R44,RC0603JR-0715KL,"фирма Yageo""""",Не уст.,main\A3,Схема управления вентиляторами
R45,RC0603JR-0718KL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R46,RC0603FR-070RL,"фирма Yageo""""",Не уст.,main\A3,Схема управления вентиляторами
R47,RC0603FR-070RL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R48,RC0603FR-070RL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R49,RC0603JR-07180KL,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
R50,RC0603JR-076K8L,"фирма Yageo""""",,main\A3,Схема управления вентиляторами
C36,"К73-17-400В-0,15мкФ±10%","фирма Гириконд""""",,main\A4,Схема индикации
C37,"К73-17-400В-0,15мкФ±10%","фирма Гириконд""""",,main\A4,Схема индикации
R51,"MO-200 (С2-23) 2 Вт, 10 кОм, 5%","каталог  Чип и Дип""""",,main\A4,Схема индикации
R52,"MO-200 (С2-23) 2 Вт, 10 кОм, 5%","каталог  Чип и Дип""""",,main\A4,Схема индикации
R53,RC0603JR-071KL,"фирма Yageo""""",,main\A4,Схема индикации
R54,RC0603JR-071KL,"фирма Yageo""""",,main\A4,Схема индикации
R55,RC0603JR-07680RL,"фирма Yageo""""",,main\A4,Схема индикации
R56,RC0603JR-07680RL,"фирма Yageo""""",,main\A4,Схема индикации
U2,PB181S,фирма ОАО «Протон»,,main\A4,Схема индикации
U3,PB181S,фирма ОАО «Протон»,,main\A4,Схема индикации
VD4,MBRS260T3G,"фирма ON Semiconductor""""",,main\A4,Схема индикации
VD5,MBRS260T3G,"фирма ON Semiconductor""""",,main\A4,Схема индикации
A1,Буфер,,,,
A2,Схема питания,,,,
A5,Схема прогрева,,,,
A3,Схема управления вентиляторами,,,,
A4,Схема индикации,,,,
